Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     79.74     0.00    65538     0.00     0.00  std::pair<std::__decay_and_strip<int>::__type, std::__decay_and_strip<int>::__type> std::make_pair<int, int>(int&&, int&&)
  0.00     79.74     0.00    65536     0.00     0.00  individual::individual()
  0.00     79.74     0.00    65536     0.00     0.00  individual::~individual()
  0.00     79.74     0.00      126     0.00     0.00  std::_Select1st<std::pair<unsigned long long const, species*> >::operator()(std::pair<unsigned long long const, species*> const&) const
  0.00     79.74     0.00      126     0.00     0.00  std::less<unsigned long long>::operator()(unsigned long long const&, unsigned long long const&) const
  0.00     79.74     0.00       92     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned long long const, species*> > const*)
  0.00     79.74     0.00       92     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_value(std::_Rb_tree_node<std::pair<unsigned long long const, species*> > const*)
  0.00     79.74     0.00       64     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<unsigned long long const, species*> >*)
  0.00     79.74     0.00       52     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00     79.74     0.00       52     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_right(std::_Rb_tree_node_base*)
  0.00     79.74     0.00       48     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long long)
  0.00     79.74     0.00       48     0.00     0.00  std::pair<unsigned long long, species*>&& std::forward<std::pair<unsigned long long, species*> >(std::remove_reference<std::pair<unsigned long long, species*> >::type&)
  0.00     79.74     0.00       41     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_end()
  0.00     79.74     0.00       36     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_M_begin()
  0.00     79.74     0.00       34     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00     79.74     0.00       34     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, species*>, std::_Select1st<std::pair<unsigned long long const, species*> >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, species*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00     79.74     0.00       29     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> >::operator==(std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> > const&) const
  0.00     79.74     0.00       29     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, species*> >::operator->() const
  0.00     79.74     0.00       29     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::size() const
